date,site,sales,units_sold,unit_price,order_id,product id
01/01/2019,Amazon Seller Central - IT,77.5,1,94.55,41974,435
01/01/2019,Amazon Seller Central - UK,37.49,1,44.99,23027,64
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,21006,509
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,24456,509
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,23589,509
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,1480,509
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,3577,509
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,36802,509
01/01/2019,Amazon Seller Central - UK,120.83,1,144.99,33092,140
01/01/2019,Amazon Seller Central - UK,70.83,1,84.99,27633,342
01/01/2019,Amazon Seller Central - UK,41.66,1,49.99,18509,254
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,2784,458
01/01/2019,Amazon Seller Central - UK,24.99,1,29.99,27190,507
01/01/2019,Amazon Seller Central - UK,24.99,1,29.99,33998,507
01/01/2019,Amazon Seller Central - UK,24.99,1,29.99,21252,508
01/01/2019,Amazon Seller Central - UK,24.99,1,29.99,1529,508
01/01/2019,Amazon Seller Central - UK,29.16,1,34.99,26248,302
01/01/2019,Amazon Seller Central - UK,33.33,1,39.99,39150,50
01/01/2019,Amazon Seller Central - UK,33.33,1,39.99,29187,53
01/01/2019,Amazon Seller Central - UK,33.33,1,39.99,3976,51
01/01/2019,Amazon Seller Central - UK,33.33,1,39.99,17962,52
01/01/2019,Amazon Seller Central - UK,21.66,1,25.99,33026,625
01/01/2019,Amazon Seller Central - UK,37.49,1,44.99,17950,522
01/01/2019,Amazon Seller Central - UK,37.49,1,44.99,36559,599
01/01/2019,Amazon Seller Central - UK,37.49,1,44.99,725,599
01/01/2019,Amazon Seller Central - UK,37.49,1,44.99,33897,599
01/01/2019,Amazon Seller Central - UK,9.16,1,10.99,4326,654
01/01/2019,Amazon Seller Central - UK,9.16,1,10.99,23468,654
01/01/2019,Amazon Seller Central - UK,58.33,1,69.99,34484,561
01/01/2019,Amazon Seller Central - UK,58.33,1,69.99,35815,561
01/01/2019,Amazon Seller Central - UK,12.49,1,14.99,18275,532
01/01/2019,Amazon Seller Central - UK,8.33,1,9.99,15736,533
01/01/2019,Amazon Seller Central - UK,8.33,1,9.99,32066,533
01/01/2019,Amazon Seller Central - UK,8.33,1,9.99,22225,533
01/01/2019,Amazon Seller Central - UK,8.33,1,9.99,37715,533
01/01/2019,Amazon Seller Central - UK,10.83,1,12.99,23886,102
01/01/2019,Amazon Seller Central - UK,8.33,1,9.99,33643,106
01/01/2019,Amazon Seller Central - UK,14.99,1,17.99,1632,90
01/01/2019,Amazon Seller Central - UK,74.99,1,89.99,34078,220
01/01/2019,Amazon Seller Central - UK,20.83,1,24.99,38366,58
01/01/2019,Amazon Seller Central - UK,20.83,1,24.99,19110,58
01/01/2019,Amazon Seller Central - UK,20.83,1,24.99,15325,57
01/01/2019,Amazon Seller Central - UK,70.83,1,84.99,38164,622
01/01/2019,Amazon Seller Central - UK,70.83,1,84.99,29745,622
01/01/2019,Amazon Seller Central - UK,108.33,1,129.99,29193,306
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,24308,605
01/01/2019,Amazon Seller Central - UK,16.66,1,19.99,22610,605
01/01/2019,Amazon Seller Central - UK,49.99,1,59.99,36004,225
